term,phrase,meaninglanguage1,meaning1,meaninglanguage2,meaning2
spuren,...einen durchsichtigen Plastikbeutel mit Spuren eines weißen Pulvers.,en,"(die, -en) n. pl. tracks, signs, indications",,
kerzenflammen,...konnte auf ein paar Kerzenflammen aufpassen.,en,"(die, -n) n. pl. candle flames",,
kerzen,"…hatte ihr verboten, nachts Kerzen anzuzünden.",en,"(die, -n) n. pl. candles",,
gebratenen,"Zum Mittagessen essen sie gebratenen Käse und Brot, dazu",en,roasted,,
weint,"Er weint, Omi tröstet und die...",en,"(er/sie/es) v. to cry, weep, mewl, shed tears of sorrow or pain",,
ziege,weiße und eine braune Ziege gehen zum Großvater,en,"(die, -n) n. goat",,
wecker,Mein Wecker hat diesmal nicht geklingelt,ru,"(der, -) n. будильник, звонок",,
alleiniger,"...bedeutet, dass der König alleiniger Herrscher ist.",en,"sole, solitary",,
je nachdem ob,"…Buch etwas anders klang, je nachdem, ob sie schon wusste, was…",en,depending on whether,,
anzuzünden,"…ihr verboten, nachts Kerzen anzuzünden.",en,"to set on fire, to light",,
ziegen,dem Geißenpeter und seinen Ziegen über die Weide,en,"(die, -n) n. pl. goats",,
sack,Er macht den Sack auf und findet darin...,en,(der) Bag,,
schenke,"Wenn du lesen lernst, schenke ich dir dieses Buch",en,"v.  give, bestow, donate",,
ernst,Sehr ernst sagt sie: „Frau Wolf...,en,"(adj.)serious, (n. der) seriousness",,
genähert,"Mädchen hat sich mir genähert und gefragt, warum ich",en,v. pp. approached,,
getraut,"...habe ich mich nicht getraut, Deutsch zu sprechen.",en,"v. pp. dare, venture, have courage to do something difficult or dangerous",,
spass,Das macht Spass!,en,"(der) fun, joy, jest, joke; lark, prank",,
erklärt,"Ich habe ihm erklärt, dass ich vom Joggen",en,"adj.  declared, proclaimed, stated v.  explain, explicate, describe in detail, elucidate; account for, give a report; declare, proclaim, make a statement,",,
entführt,"...denkst, jemand hat Felix entführt?",en,kidnapped,,
unerwarteter,"...sehen sie, dass ein unerwarteter Gast den Weg hochkommt...",en,unexpected,,
komische,Kapitel 1: Eine komische Halskette,en,"(adj) amusing, funny, odd, strange (adv) funnily, strangely",,
sonder,"...die höchste Pyramide Ägyptens, sonder auf der ganzen Welt.",en,"Special, seperate",,
erschrockene,Auf der Straße sind erschrockene Menschen.,en,"adj. frightened, shocked, scared, alarmed, terrified, startled, shaken, horrified",,
vergeht,Die Zeit vergeht nun sehr schnell.,en,"pass,  go by",,
angeschaut,...habe mir die Treppen angeschaut und dachte mir: „Soll...,en,"observe, watch, look",,
am leben,"...dann bleibt dein Sohn am Leben.""",en,alive,,
peitschte,Ich peitschte und peitschte aber der...,en,"(er, sie, es) whipped",,
soweit sind,"Wenn Sie soweit sind, können Sie mit einem...",en,are ready,,
öhi,Kapitel 1. Heidi lernt Alp-Öhi kennen,en,Uncle,,
befragen,...lasse ihn von Vladimir befragen.,en,"interrogate, question",,
begleitet,Die Arzthelferin begleitet sie ins Sprechzimmer.,en,"accompany, go along with, go together with, escort",,
tüchtiger,Handbuch: „Wie du ein tüchtiger Detektiv wirst,en,"skilled, proficient, efficient",,
überlegen,...mir noch etwas anderes überlegen.,en,"reflect; think; consider, think about",,
dochte,"...an einen der schwarzen Dochte, als sie draußen die...",en,"(der, -e) n. фитиль",,
streichholz,Sie hielt das brennende Streichholz gerade an einen der...,en,(das) Match,,
leuchter,Drei Windlichter und drei Leuchter hatte sie auf dem...,en,"chandelier, candlestick",,
fensterbrett,...hatte sie auf dem Fensterbrett stehen.,uk,(das) підвіконня,,
pustete,Erschrocken pustete sie das Streichholz aus...,ru,"дуть

тяжело дышать, пыхтеть, сопеть

радио жарг посылать (сигнал)",,
zurücktrat,"...als er vom Fenster zurücktrat, dass Meggies Herz nur...",en,"resigned, retreated",,
übernachten,"...bei meiner Freundin Selina übernachten“, sagt Eva.",en,"lodge, stay overnight, stay over, remain",,
geräusch,Da hört er ein Geräusch,en,"(das, -e) noise",,
gemeint,hat seine Mutter dazu gemeint,en,"meant, intended, planned, meant for",,
toll,Berlin ist einfach toll,en,"goodie, great!, wonderful!, neat;mad, crazy, wild; great, wonderful",,
dazugelernt,"Das bedeutet, dass Sie dazugelernt haben.",en,to learn something new/additionally,,
püppchen,...schwäbischer Dialekt und heißt Püppchen.,uk,(die) лялька,,
klettern,"...du auf einen Baum klettern?“, fragt Michael Eva.",en,"scale, climb, ascend, go up, mount",,
kleben,Den Schlüssel kleben Sie unter das Telefon.,en,"stick, adhere",,
geräusche,Plötzlich hören wir Geräusche.,en,(das) noises,,
sowas,"er hat keine Lust, sowas Banales zu essen",en,"such a thing, like this",,
brieföffner,"...die Schublade mit dem Brieföffner, der auf dem Schreibtisch...",en,(der) letter opener or paper knife,,
eilig,Ich habe es nicht eilig.“,en,"hasty, quick, hurried, urgent",,
aufmachte,...ersten Reise nach Russland aufmachte.,en,"start out, sally forth",,
einzelne,Ich bin jede einzelne Stufe aufgestiegen.,en,individual,,
verschlafen,Verschlafen,ru,1) проспать (какое-л. время)  2) проспать (пропустить что-л.),,
beruhigen,...und sie muss ihn beruhigen: „Sicher geht es Felix...,en,"v. sooth, calm down, appease",,
reglos,Eine weiße Gestalt steht reglos in der Tür,en,"adj. motionless, still, stationary,",,
gesprächsbericht,"...haben, werden Sie einen Gesprächsbericht erhalten.",en,conversation report,,
hinkt,"...ist sie nicht, sie hinkt auch ein bisschen, aber...",uk,"(er/sie/es) хромає, відстає",,
staatsbürgerschaft,...mit siebzehn die deutsche Staatsbürgerschaft ab.,en,Citizenship,,
raten,"...Schweizer Patentamt arbeiten?“ Freunde raten ihm, sich noch einmal...",en,"v.  advise, counsel, offer guidance, instruct; guess, solve",,
strümpfe,"...seine Jacke uralt, und Strümpfe trägt er gar nicht.",en,Stockings,,
reibereien,...gibt es immer wieder Reibereien.,en,"(die, -en) friction",,
uralt,"...zu kurz, seine Jacke uralt, und Strümpfe trägt er...",en,"ancient, very old",,
veröffentlicht,1905 veröffentlicht Albert Einstein vier...,en,"published, launched",,
blass,Die Dunkelheit war blass vom Regen und der…,en,"faded, pale,  faint, wan,",,
es ist soweit,"Es ist soweit“, sagt Albert zu seiner...",en,"It’s happening. [idiom], the time has come",,
triefte,"Der Regen triefte auf ihn herab, aber…",en,dripped,,
brust,"…die Arme um die Brust geschlungen, als wollte er…",en,"(die) breast, chest, bosom",,
beachtete,"…ihn herab, aber er beachtete ihn nicht.",en,"(ich//er/sie/es) v. prät. noticed, listened, noted, observed, overlook",,
bereite,ich mich um und bereite mir mein Frühstück vor,en,(ich) prepare,,
beiß,"...Stimmen: „Ja ja, los! Beiß ihn! Greif an!“",en,bite,,
bremst,Neben den beiden Jungen bremst sie plötzlich und fahrt...,en,"(du//er/sie/es//ihr) v. brake, stop a vehicle, slow down a vehicle",,
behandle,"Ja, ich behandle im Moment einen schwierigen...",en,"(ich) v.  treat, handle, relate to, deal with",,
bleib,"ARZT: Bleib ruhig, du tust dir...",en,stay,,
bleibe,Also bleibe ich lieber zu Hause...,en,(ich) remain/stay,,
bleiben,...denen Sie in Kontakt bleiben wollen.,en,to stay,,
brennt,"...nachts kaum eine Laterne brennt, wird man über dich...",en,(er/sie/es) v. burns,,
brombeeren,"...wie Blaubeeren, Himbeeren und Brombeeren.",uk,"(die, -n) n.pl. ожина",,
immerhin,"...beweist, ist das doch immerhin ein Motiv, ein gutes...",en,after all,,
falle,...die Israeliten in der Falle.,en,"(die, -n) n. trap; case (e.g., in this case)",,
folgt,"Kommt schnell! Folgt mir“, sagt der Mann.",en,(er/sie/es//ihr) v. follow,,
flüstert,Simon flüstert seiner Oma ins Ohr...,en,"(er/sie/es) v. whisper, gossip, spread a rumor, speak softly",,
haltestellen,Nach mehreren Haltestellen bin ich aus dem,en,"(die, -n) n. pl. stop, station, pickup station",,
entwickelt,zu einer moralischen Verpflichtung entwickelt.,en,developed,,
haltestelle,Bus hat sich der Haltestelle genähert und ich sagte,ru,"(die, -n) место остановки [стоянки]; остановка; стоянка, станция",,
hältst,Was hältst du zum Beispiel von...,en,"hold, keep, maintain; believe",,
verbrannten,...Einsteins Bücher unter den verbrannten Büchern.,en,burned,,
subversion,"Das ist jüdische Subversion“, sagen sie.",uk,диверсія,,
vorträge,Einstein hält Vorträge über Politik.,uk,"(der, -:e) s. pl. лекції, виступи, презентаціі",,
hassen,Hitler und seine Leute hassen die Relativitätstheorie.,en,"hate, dislike",,
menschenmasse,...wirklich ein Star.“ Eine Menschenmasse steht da am Ufer.,en,(die) crowd,,
abwesend,"...Kopf und blickte sie abwesend an, wie immer, wenn...",en,absent,,
kämpfer,"Einstein, der Kämpfer.",uk,боєць,,
jubeln,...hört er die Menschen jubeln.,uk,вболівати,,
segelt,In seiner Freizeit segelt er gern.,uk,"займатись вітрильним спортом, іти під вітрилами, ширяти в повітрі; полетіти шкереберть, гепнутися",,
frieden,"Da haben wir endlich Frieden.“ Chaim Weizmann, der Zionistenführer...",uk,"(der) n. мир, спокій, свобода",,
menschenmenge,Freundlich grüßt Einstein die Menschenmenge.,en,(die) crowd,,
vorzimmer,"...Erdgeschoss gibt es ein Vorzimmer, ein Wohnzimmer, ein Esszimmer...",en,"antechamber, anteroom, hall, reception room, waiting room",,
schwiegereltern,Früher wohnten meine Schwiegereltern im anderen Teil des...,en,parents in law,,
stelzen,...aus wie Halbgötter auf Stelzen.,uk,ходулі,,
kernspaltung,Bei jeder Kernspaltung werden drei Neutronen frei...,en,die: Nuclear fission,,
segeln,"...Nähe, auf dem er segeln kann.",en,sail,,
vorlesungen,...Institut braucht er keine Vorlesungen zu halten.,en,"n. lecture, discourse given before an audience (especially one that is instructive)",,
allerdings,"Allerdings, so geht es mir...",en,"certainly, indeed, however",,
umkommen,...zu Hause im Krieg umkommen.,en,"to perish, to be killed, to go to waste",,
nun,Nun kann ich selbstbewusst sprechen.,en,"(adv) now, currently (interj) well",,
erzählt,"Sie?“ Sie hat mir erzählt, dass sie aus Italien",ru,сообщил,,
gebracht,habe sie ins Bett gebracht und sie ist sofort,en,brought,,
stamm,"Geert ist ein schlanker Stamm, und Effi soll der...",en,"(der) stem, trunk | line, tribe",,
zeigen,"Morgen zeigen wir euch alles, aber...",uk,"демонструвати, показувати",,
ziel,"Ja. Ein Plan, ein Ziel - ist jemand im Weg...",en,"(das) destination, aim, goal, objective, target, finish",,
verzichtet,Er verzichtet auf fettige Speisen,en,does without,,
schlägt,Sein Vater schlägt die Zeitung auf,en,"hit, strike, beat",,
reden,...Sie mit einem Muttersprachler reden.,en,"v. to talk, to speak; n. (die) (pl.) speeches; n. (das) (sing.) talking, speaking",,
untersucht,Er untersucht Julia.,en,inspected,,
berührt,Er berührt ihre Stirn.,en,touched,,
erzählen,...Polizei gehen und alles erzählen.“ Die glauben mir doch...,en,to tell,,
wissenschaftler,Er will Wissenschaftler werden.,en,(der) scientist (n pl) scientists,,
empfängen,Bei offiziellen Empfängen langweilt er sich.,en,"(der, -en) n. pl. reception",,
strahlender,"…klingt wunderbar. Da heute strahlender Sonnenschein ist, würden wir…",en,"beaming, bright, shining, gleaming, radiant",,
atomkern,Sie wollen einen Atomkern spalten.,en,atomic nucleus,,
spalten,Sie wollen einen Atomkern spalten.,en,"split, crack, chop",,
klappt,Es klappt.,en,work,,
allgemeineren,"...zu einer neuen, noch allgemeineren Theorie.",en,more general,,
gar nicht,Miete und es ist gar nicht seine Freundin,en,"not at all, not one bit, no way, never, in no manner",,
spöttisch,"…nicht entscheiden, ob es spöttisch, herablassend oder einfach nur…",en,"mocking, derisive, scornful, ironic",,
bedrohlich,Rauschen des Regens klang bedrohlich laut,en,dreadfully,,
tauchte,"und aus der Dunkelheit tauchte der Mann auf, der",en,"(auftauchen) - to appear, arise",,
feucht,"drang herein, dunkel und feucht, und das Rauschen des",en,"adj. damp, wet, moist, humid; clammy and wet; muggy, hot and humid (Weather)",,
entsinnen,"Meggie konnte sich nicht entsinnen, ihn je gehört zu",en,"remember, recall, recollect",,
drang,"Die Nacht drang herein, dunkel und feucht",en,"(der)  n. urge, impulse, drive",,
leckte,"dem Haus nach draußen leckte, glaubte Meggie für den",en,licked,,
schnüffelnd,"zu sehen, der sich schnüffelnd aus seinem Rucksack schob",en,sniffing,,
pelzigen,"eines Augenblicks, einen kleinen pelzigen Kopf über seiner Schulter",en,furry,,
eingangsdiele,"als sie in die Eingangsdiele kam, sah sie ihren",en,(die) entrance hallway,,
hervorholte,"…sie unter dem Kissen hervorholte, um sie anzuschauen.",en,brought out,,
ärmel,fuhr sich mit dem Ärmel über das feuchte Gesicht,en,(der) sleeve,,
zurecht,...Sie nicht mit ihm zurecht?,en,rightly; deal; manage,,
feuchte,dem Ärmel über das feuchte Gesicht und streckte Mo,en,"moistness, wetness, dampness, humidity",,
bruchteil,"glaubte Meggie für den Bruchteil eines Augenblicks, einen kleinen",en,"n. fraction,",,
angesteckt,…hätte der Fremde sie angesteckt mit seiner Reglosigkeit.,en,"infected, contaminated, contracted, corrupted, passed on, plugged in, set fire on",,
regennasse,kniete sich vor das regennasse Fenster und blickte hinaus.,en,rain-soaked,,
auftauchen,Gestalt aus der Nacht auftauchen zu sehen,en,"to emerge, to appear, to pop up, to loom, to surface, to arise, to materialize, to come up",,
flüchtete,"…schlimmen Traum zu ihm flüchtete, ließ sie nichts besser…",en,"escaped, fleed",,
bequem,"…das ist bestimmt sehr bequem, so ein eckiges, hartes…",en,"adj, convenient,comfortable, soft",,
umblättern,…neben sich und das Umblättern der Seiten.,en,"turn over, turn pages,",,
fiel auf,"Meggie fiel auf, dass Mo zweimal abschloss",en,"auf-fallen = attract attention, draw attention, stand out, stick out",,
herablassend,"…entscheiden, ob es spöttisch, herablassend oder einfach nur verlegen…",uk,поблажливий,,
tropfnasse,…Staubfinger strich sich das tropfnasse Haar aus der Stirn.,uk,"промо́клий / ви́мокнутий / змо́клий, геть до ру́бчика",,
scheibe,…klebt ihn an die Scheibe. In diesem Moment kommt…,en,"slice, windscreen",,
Du meine Güte,…Zwölf? Du meine Güte.« Staubfinger strich sich das…,en,"О, Бігме.",,
eckiges,"…sehr bequem, so ein eckiges, hartes Ding unterm Kopf«,…",en,"square, angular",,
hör auf,"JAN: Hör auf, immer daran zu denken!",en,"cut it out!, enough!, stop it!",,
einbrecher,"...wahrscheinlich, dass wir den Einbrecher finden. Im Moment gibt...",en,(der) burglar,,
herüber,...Gesicht leuchtete zu Meggie herüber.,uk,"до, сюди, через, у напрямку до мене",,
beschließen,nach dem Feierabend beschließen Melanie,en,"decide, resolve, conclude, make a decision, determine",,
aufschlug,"…verheißungsvoll, als sie es aufschlug.",en,opened,,
pelzgesicht,Hat er ein Pelzgesicht? Dann könnte es ein...,en,fur face,,
herab,"…Regen triefte auf ihn herab, aber er beachtete ihn…",en,in a downward direction,,
aufgeschlagenen,...empfingen Meggie mit einladend aufgeschlagenen Seiten auf dem Frühstückstisch...,en,open,,
umgeblättert,…Seiten eines großen Buches umgeblättert.,en,turned the page,,
pampe,"…wie man braune, stinkende Pampe",uk,"каша, суспензія, місиво",,
sträucher,"Bäume, Sträucher, Häuser- alles erstrahlte in…",en,bush,,
